No,Component,Category,Variants,Key Props,Accessibility,Animation,Composition,Common Mistakes,Code Example,Docs URL
25,InputOTP,Form,"default","maxLength, value, onChange, pattern","Auto-focus next, paste handling, numeric keyboard hint","Caret blink, slot fill","InputOTP > InputOTPGroup > InputOTPSlot","Not handling paste correctly","<InputOTP maxLength={6}><InputOTPGroup><InputOTPSlot index={0} />...</InputOTPGroup></InputOTP>",https://ui.shadcn.com/docs/components/input-otp
26,Label,Form,"default, error","htmlFor, className","Associated with form control via htmlFor","None","Standalone with form control","Not using htmlFor association","<Label htmlFor=""email"">Email</Label>",https://ui.shadcn.com/docs/components/label
27,Menubar,Navigation,"default","value, onValueChange","Arrow navigation, typeahead, Escape close","fade-in, zoom-in-95","Menubar > MenubarMenu > MenubarTrigger + MenubarContent > MenubarItem","Not following OS menu conventions","<Menubar><MenubarMenu><MenubarTrigger>File</MenubarTrigger><MenubarContent><MenubarItem>New</MenubarItem></MenubarContent></MenubarMenu></Menubar>",https://ui.shadcn.com/docs/components/menubar
28,NavigationMenu,Navigation,"default, vertical","value, onValueChange, orientation","Arrow navigation, Escape close, current page","fade-in, slide transitions","NavigationMenu > NavigationMenuList > NavigationMenuItem > NavigationMenuTrigger + NavigationMenuContent","Overcomplicating simple nav","<NavigationMenu><NavigationMenuList><NavigationMenuItem><NavigationMenuTrigger>Getting started</NavigationMenuTrigger><NavigationMenuContent>...</NavigationMenuContent></NavigationMenuItem></NavigationMenuList></NavigationMenu>",https://ui.shadcn.com/docs/components/navigation-menu
29,Pagination,Navigation,"default","page, totalPages, onPageChange","aria-label, current page, disabled states","None","Pagination > PaginationContent > PaginationItem > PaginationLink","Not showing total pages or range","<Pagination><PaginationContent><PaginationItem><PaginationPrevious /></PaginationItem><PaginationItem><PaginationLink href=""#"">1</PaginationLink></PaginationItem><PaginationItem><PaginationNext /></PaginationItem></PaginationContent></Pagination>",https://ui.shadcn.com/docs/components/pagination
30,Popover,Overlay,"default, controlled","open, onOpenChange, side, align, sideOffset","Focus trap, Escape close, click outside","fade-in, zoom-in-95, slide direction","Popover > PopoverTrigger + PopoverContent","Not positioning correctly near edges","<Popover><PopoverTrigger asChild><Button>Open</Button></PopoverTrigger><PopoverContent>Content</PopoverContent></Popover>",https://ui.shadcn.com/docs/components/popover
31,Progress,Feedback,"default, indeterminate","value, max, className","aria-valuenow, aria-valuemax, role='progressbar'","Width transition","Standalone","Not announcing progress to screen readers","<Progress value={66} />",https://ui.shadcn.com/docs/components/progress
32,RadioGroup,Form,"default, cards","value, onValueChange, defaultValue, disabled","Arrow navigation, Space select, one selection","None","RadioGroup > RadioGroupItem + Label","Not grouping with fieldset/legend","<RadioGroup value={value} onValueChange={setValue}><div className=""flex items-center space-x-2""><RadioGroupItem value=""option-1"" id=""r1"" /><Label htmlFor=""r1"">Option 1</Label></div></RadioGroup>",https://ui.shadcn.com/docs/components/radio-group
33,Resizable,Layout,"default, directions","direction, defaultSize, minSize, maxSize, onResize","Keyboard resize with arrows, aria-valuenow","Handle visibility on hover","ResizablePanelGroup > ResizablePanel + ResizableHandle","Fixed sizes preventing resize","<ResizablePanelGroup direction=""horizontal""><ResizablePanel defaultSize={50}>Left</ResizablePanel><ResizableHandle /><ResizablePanel defaultSize={50}>Right</ResizablePanel></ResizablePanelGroup>",https://ui.shadcn.com/docs/components/resizable
34,ScrollArea,Layout,"default, horizontal","type, scrollHideDelay, className","Native scroll behavior preserved, keyboard scroll","Thumb fade on inactivity","ScrollArea > content + ScrollBar","Using for small content that doesn't need scroll","<ScrollArea className=""h-72""><div>Long content...</div></ScrollArea>",https://ui.shadcn.com/docs/components/scroll-area
35,Select,Form,"default, searchable, groups","value, onValueChange, defaultValue, disabled, placeholder","Arrow navigation, typeahead, Escape close","Popover open/close transition","Select > SelectTrigger > SelectValue + SelectContent > SelectItem","Not using groups for long lists","<Select value={value} onValueChange={setValue}><SelectTrigger><SelectValue placeholder=""Select..."" /></SelectTrigger><SelectContent><SelectItem value=""1"">Option 1</SelectItem></SelectContent></Select>",https://ui.shadcn.com/docs/components/select
36,Separator,Layout,"horizontal, vertical","orientation, decorative, className","decorative=true hides from screen readers, role='separator'","None","Standalone between sections","Using when visual spacing is enough","<Separator orientation=""horizontal"" className=""my-4"" />",https://ui.shadcn.com/docs/components/separator
37,Sheet,Overlay,"top, right, bottom, left","open, onOpenChange, side","Focus trap, Escape close, slide direction","slide-in from side","Sheet > SheetTrigger + SheetContent > SheetHeader","Using for content that needs Dialog","<Sheet><SheetTrigger asChild><Button>Open</Button></SheetTrigger><SheetContent side=""right""><SheetHeader><SheetTitle>Title</SheetTitle></SheetHeader></SheetContent></Sheet>",https://ui.shadcn.com/docs/components/sheet
38,Sidebar,Navigation,"default, collapsible, mobile","open, onOpenChange, collapsible, side","Landmark navigation, keyboard accessible","Width/translate transition","SidebarProvider > Sidebar + SidebarContent > SidebarGroup","Not making collapsible on mobile","<SidebarProvider><Sidebar><SidebarContent><SidebarGroup><SidebarGroupLabel>Menu</SidebarGroupLabel><SidebarGroupContent><SidebarMenu>...</SidebarMenu></SidebarGroupContent></SidebarGroup></SidebarContent></Sidebar></SidebarProvider>",https://ui.shadcn.com/docs/components/sidebar
39,Skeleton,Feedback,"default, shapes","className (for shape)","aria-hidden, announces loading to SR via live region","Pulse animation","Standalone, matches content shape","Not matching actual content dimensions","<Skeleton className=""h-4 w-[250px]"" />",https://ui.shadcn.com/docs/components/skeleton
40,Slider,Form,"default, range, steps","value, onValueChange, min, max, step, disabled","Arrow keys, Home/End, aria-valuenow","Thumb drag smoothing","Standalone with Label","Not providing min/max context","<Slider value={[50]} onValueChange={setValue} min={0} max={100} step={1} />",https://ui.shadcn.com/docs/components/slider
41,Sonner,Feedback,"default, success, error, warning, info, promise, action","toast(), position, richColors, closeButton","aria-live polite, auto-dismiss, action button focus","slide-in, fade-out","Toaster component + toast() function","Not using appropriate variant for message type","<Toaster /> then toast('Event created', { description: 'Monday, January 3rd' })",https://ui.shadcn.com/docs/components/sonner
42,Switch,Form,"default, sizes","checked, onCheckedChange, disabled, id","Label association, Space toggle, disabled state","Thumb slide transition","Switch + Label via htmlFor","Not associating with label","<div className=""flex items-center space-x-2""><Switch id=""mode"" /><Label htmlFor=""mode"">Dark mode</Label></div>",https://ui.shadcn.com/docs/components/switch
43,Table,Data Display,"default, striped, bordered","className","th scope, caption, sortable headers as buttons","None (static)","Table > TableHeader + TableBody + TableRow + TableHead + TableCell","Not using TableHead for headers","<Table><TableHeader><TableRow><TableHead>Name</TableHead></TableRow></TableHeader><TableBody><TableRow><TableCell>John</TableCell></TableRow></TableBody></Table>",https://ui.shadcn.com/docs/components/table
44,Tabs,Navigation,"default, vertical","value, onValueChange, defaultValue, orientation","Arrow navigation, automatic activation, aria-selected","Content fade transition","Tabs > TabsList > TabsTrigger + TabsContent","Content not associated with trigger","<Tabs defaultValue=""account""><TabsList><TabsTrigger value=""account"">Account</TabsTrigger><TabsTrigger value=""password"">Password</TabsTrigger></TabsList><TabsContent value=""account"">Account content</TabsContent><TabsContent value=""password"">Password content</TabsContent></Tabs>",https://ui.shadcn.com/docs/components/tabs
45,Textarea,Form,"default, autosize","placeholder, disabled, rows, className","Label association, error state","focus:ring transition","Standalone with Label","Fixed height preventing content view","<div><Label htmlFor=""message"">Message</Label><Textarea id=""message"" placeholder=""Type message..."" /></div>",https://ui.shadcn.com/docs/components/textarea
46,Toast,Feedback,"default, destructive, success","title, description, action, duration","aria-live, auto-dismiss timing, action focus","slide-in from edge","useToast hook + Toaster + toast()","Not providing action for reversible actions","const { toast } = useToast(); toast({ title: 'Saved', description: 'Changes saved' })",https://ui.shadcn.com/docs/components/toast
47,Toggle,Form,"default, outline, sizes","pressed, onPressedChange, variant, disabled","aria-pressed, Space toggle","Background color transition","Standalone, often grouped","Using for navigation instead of state","<Toggle pressed={bold} onPressedChange={setBold} aria-label=""Toggle bold""><Bold /></Toggle>",https://ui.shadcn.com/docs/components/toggle
48,ToggleGroup,Form,"single, multiple","type, value, onValueChange, variant","Arrow navigation, roving tabindex, aria-label","Same as Toggle","ToggleGroup > ToggleGroupItem","Not using type='single' for exclusive options","<ToggleGroup type=""single"" value={align} onValueChange={setAlign}><ToggleGroupItem value=""left""><AlignLeft /></ToggleGroupItem><ToggleGroupItem value=""center""><AlignCenter /></ToggleGroupItem></ToggleGroup>",https://ui.shadcn.com/docs/components/toggle-group
49,Tooltip,Overlay,"default","open, onOpenChange, delayDuration, side, sideOffset","Keyboard focus trigger, Escape dismiss, aria-describedby","fade-in, zoom-in-95","Tooltip > TooltipTrigger + TooltipContent","Using for essential information (not keyboard accessible trigger)","<TooltipProvider><Tooltip><TooltipTrigger asChild><Button variant=""ghost""><Info /></Button></TooltipTrigger><TooltipContent>More info</TooltipContent></Tooltip></TooltipProvider>",https://ui.shadcn.com/docs/components/tooltip
50,Typography,Layout,"h1-h4, p, blockquote, code, lead, muted","className for each type","Heading hierarchy, semantic HTML","None","Standalone text components","Skipping heading levels","<h1 className=""text-4xl font-bold"">Title</h1><p className=""text-muted-foreground"">Description</p>",https://ui.shadcn.com/docs/components/typography
51,Chart,Data Display,"line, bar, pie, area, radar, radial","data, config, className","Accessible color contrast, data table alternative","Recharts transitions","ChartContainer > Recharts components + ChartTooltip + ChartLegend","Not providing data table for accessibility","<ChartContainer config={config}><BarChart data={data}><Bar dataKey=""value"" /></BarChart></ChartContainer>",https://ui.shadcn.com/docs/components/chart
52,Kbd,Data Display,"default","className","Semantic kbd element","None","Standalone","Using for non-keyboard content","<Kbd>⌘</Kbd><Kbd>K</Kbd>",https://ui.shadcn.com/docs/components/kbd
53,NativeSelect,Form,"default","value, onChange, disabled, placeholder","Native select accessibility","Native browser","Standalone with Label","Using when Select features needed","<NativeSelect value={value} onChange={e => setValue(e.target.value)}><option value=""1"">Option 1</option></NativeSelect>",https://ui.shadcn.com/docs/components/native-select
54,Spinner,Feedback,"default, sizes","size, className","aria-label, role='status'","spin animation","Standalone","Not providing loading context","<Spinner className=""h-4 w-4"" />",https://ui.shadcn.com/docs/components/spinner
55,Empty,Feedback,"default","icon, title, description, action","Semantic heading in empty state","None","Standalone with icon + text + optional action","Not providing action to resolve empty state","<Empty><EmptyIcon><Inbox /></EmptyIcon><EmptyTitle>No messages</EmptyTitle><EmptyDescription>Start a conversation</EmptyDescription><EmptyAction><Button>New message</Button></EmptyAction></Empty>",https://ui.shadcn.com/docs/components/empty
56,Field,Form,"default, horizontal","name, label, description, error","Fieldset for grouped inputs, error association","None","Field > FieldLabel + FieldControl + FieldDescription + FieldError","Not grouping related fields","<Field><FieldLabel>Email</FieldLabel><FieldControl><Input type=""email"" /></FieldControl><FieldDescription>Your email</FieldDescription></Field>",https://ui.shadcn.com/docs/components/field
57,Item,Utility,"default","className","Semantic list item","None","Within list context","Using outside list","<ul><Item>List item</Item></ul>",https://ui.shadcn.com/docs/components/item
58,Direction,Utility,"ltr, rtl","dir","Proper RTL support","None","Wraps directional content","Not testing RTL layouts","<Direction dir=""rtl"">RTL content</Direction>",https://ui.shadcn.com/docs/components/direction
59,ButtonGroup,Form,"default, attached","orientation, className","Group role, arrow navigation","None","ButtonGroup > Button children","Not grouping related actions","<ButtonGroup><Button variant=""outline"">Left</Button><Button variant=""outline"">Center</Button><Button variant=""outline"">Right</Button></ButtonGroup>",https://ui.shadcn.com/docs/components/button-group
60,InputGroup,Form,"default, addons","className","Group association","None","InputGroup > InputGroupAddon + Input","Addon not visually attached","<InputGroup><InputGroupAddon>$</InputGroupAddon><Input type=""number"" /></InputGroup>",https://ui.shadcn.com/docs/components/input-group
61,CopyButton,Utility,"default","value, onCopy","Announce copy success to SR","Icon transition on copy","Standalone","Not providing feedback on copy","<CopyButton value=""text to copy"" />",https://ui.shadcn.com/docs/components/copy-button
62,FileUpload,Form,"default, drag-drop, multiple","accept, maxSize, onUpload, multiple","Dropzone aria, file type announcement","Border highlight on drag","FileUpload > FileUploadDropzone + FileUploadList","Not validating file types","<FileUpload accept=""image/*"" onUpload={handleUpload}><FileUploadDropzone /></FileUpload>",https://ui.shadcn.com/docs/components/file-upload
63,ColorPicker,Form,"default, with input","value, onChange, format","Keyboard color selection, format announcement","Popover transition","ColorPicker > ColorPickerTrigger + ColorPickerContent","Not supporting multiple formats","<ColorPicker value={color} onChange={setColor} />",https://ui.shadcn.com/docs/components/color-picker
64,Timeline,Data Display,"default, left, right, alternating","className","Semantic list, time element","None","Timeline > TimelineItem > TimelineConnector + TimelineContent","Not using time element for dates","<Timeline><TimelineItem><TimelineConnector /><TimelineContent>Event</TimelineContent></TimelineItem></Timeline>",https://ui.shadcn.com/docs/components/timeline
65,Stepper,Navigation,"horizontal, vertical","activeStep, onStepChange","aria-current for active step, step navigation","Step indicator transition","Stepper > StepperItem > StepperTrigger + StepperContent","Not indicating completed steps","<Stepper activeStep={step}><StepperItem><StepperTrigger>Step 1</StepperTrigger><StepperContent>Content</StepperContent></StepperItem></Stepper>",https://ui.shadcn.com/docs/components/stepper
66,Combobox,Form,"default, multiple, creatable","value, onValueChange, options, placeholder","Listbox role, typeahead, create option","Popover open animation","Popover + Command composition","Not debouncing async search","<Combobox value={value} onValueChange={setValue} options={options} />",https://ui.shadcn.com/docs/components/combobox
67,MultiSelect,Form,"default, creatable","value, onValueChange, options, max","Multi-selection with checkboxes, chip keyboard delete","Popover transition, chip add/remove","Popover + Command + Badge chips","Not limiting maximum selections","<MultiSelect value={values} onValueChange={setValues} options={options} max={5} />",https://ui.shadcn.com/docs/components/multi-select
68,TagInput,Form,"default, suggestions","value, onChange, delimiter, max","Chip keyboard navigation, delete with backspace","Chip add/remove animation","Input + Badge composition","Not handling duplicate tags","<TagInput value={tags} onChange={setTags} placeholder=""Add tags..."" />",https://ui.shadcn.com/docs/components/tag-input
69,RichTextEditor,Form,"default, markdown, minimal","value, onChange, extensions","Toolbar keyboard access, format announcements","Toolbar item transitions","Editor + Toolbar composition","Not providing plain text fallback","<RichTextEditor value={content} onChange={setContent} />",https://ui.shadcn.com/docs/components/rich-text-editor
70,AutoComplete,Form,"default, async, grouped","value, onValueChange, options, onSearch","Listbox role, loading state, no results","Suggestion list animation","Input + suggestions composition","Not handling no results state","<AutoComplete value={value} onValueChange={setValue} onSearch={handleSearch} options={options} />",https://ui.shadcn.com/docs/components/autocomplete
